Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Autónoma de Madrid;Artes y Humanidades;Arqueología;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Estudios Clásicos y de la Antigüedad;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Estudios Hispánicos: Lengua Española y sus Literaturas;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Estudios Ingleses;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Estudios de Asia y África (Chino);5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Estudios de Asia y África (Japonés);5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Estudios de Asia y África (Árabe);5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Filosofía;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Historia;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Historia del Arte;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Historia y Ciencias de la Música y Tecnología Musical;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Lenguas Modernas, Cultura y Comunicación-Español;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Lenguas Modernas, Cultura y Comunicación-Francés;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Lenguas Modernas, Cultura y Comunicación-Inglés;5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Traducción e Interpretación (Francés);5,000
Universidad Autónoma de Madrid;Artes y Humanidades;Traducción e Interpretación (Inglés);6,700
Universidad Autónoma de Madrid;Centros adscritos;Diseño y Gestión de Proyectos Transmedia;5,000
Universidad Autónoma de Madrid;Centros adscritos;Educación Social;5,000
Universidad Autónoma de Madrid;Centros adscritos;Enfermería;10,816
Universidad Autónoma de Madrid;Centros adscritos;Enfermería;10,486
Universidad Autónoma de Madrid;Centros adscritos;Enfermería (Campus Villalba);10,430
Universidad Autónoma de Madrid;Centros adscritos;Fisioterapia;5,000
Universidad Autónoma de Madrid;Centros adscritos;Maestro en Educación Infantil;5,000
Universidad Autónoma de Madrid;Centros adscritos;Maestro en Educación Primaria;5,000
Universidad Autónoma de Madrid;Centros adscritos;Podología;7,203
Universidad Autónoma de Madrid;Centros adscritos;Terapia Ocupacional;5,000
Universidad Autónoma de Madrid;Centros adscritos;Trabajo Social;5,000
Universidad Autónoma de Madrid;Ciencias;Biología;9,714
Universidad Autónoma de Madrid;Ciencias;Bioquímica;12,067
Universidad Autónoma de Madrid;Ciencias;Ciencia y Tecnología de los Alimentos;8,528
Universidad Autónoma de Madrid;Ciencias;Ciencias Ambientales;7,686
Universidad Autónoma de Madrid;Ciencias;Física;12,014
Universidad Autónoma de Madrid;Ciencias;Matemáticas;11,937
Universidad Autónoma de Madrid;Ciencias;Química;9,986
Universidad Autónoma de Madrid;Ciencias;Química (grupo bilingüe: español/inglés);9,102
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas;10,203
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Antropología Social y Cultural;5,000
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Análisis de Datos en la Empresa / Business Analytics;11,232
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Ciencia Política y Administración Pública;8,886
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Ciencia Política y Administración Pública - Mención en Gobierno y dirección pública;8,971
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Ciencia Política y Administración Pública - Mención en Relaciones internacionales y Unión Europea;11,599
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Ciencias de la Actividad Física y del Deporte;10,560
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Derecho;9,837
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Derecho - Mención en Derecho de la energía y del medio ambiente;9,214
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Derecho - Mención en Derecho de los negocios internacionales;11,575
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Derecho - Mención en Derecho digital y de las tecnologías;10,958
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Derecho - Mención en Derechos humanos y justicia social;10,853
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Economía;9,603
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Economía (Grupo bilingüe: español/inglés);9,190
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Economía y Finanzas / Economics and Finance;10,905
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Estudios Internacionales;10,853
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Geografía, Geotecnologías y Sostenibilidad Territorial;5,000
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Gestión Aeronáutica;10,715
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Maestro en Educación Infantil;8,911
